Altium Designer Pick and Place Locations
D:\OneDrive\0_Guangxin_Files\2_MyProjects\7.ST_Link\Github\ST_Link Hardware\ST_Link_Mo\Project Outputs for ST-Link\Pick Place for st-link.csv

========================================================================================================================
File Design Information:

Date:       28/03/23
Time:       15:33
Revision:   3629fb78728517c4542654dedb1623af51566577
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"USB1","Type-C-16P","TopLayer","USB-C-SMD_KH-TYPE-C-16P","204.918","508.840","270","C709357"
"R17","4.7K","TopLayer","RES_0402","1024.000","231.000","180","Resistor"
"C8","100nF","TopLayer","CAP_0402","671.000","503.000","0","Capacitor"
"U2","ME6214C18","TopLayer","SOT23-5","1064.055","897.598","270","低压差线性稳压器"
"C5","1uF","TopLayer","CAP_0402","1176.000","915.000","270","Capacitor"
"C4","1uF","TopLayer","CAP_0402","954.000","914.000","270","Capacitor"
"S1","SPDT 3P","TopLayer","SwitchSPDT_2.8X6.6_90","394.000","96.500","0","Switch"
"SP4","M3铜柱","TopLayer","铜柱","118.110","118.110","0","铜柱"
"SP3","M3铜柱","TopLayer","铜柱","118.110","905.512","0","铜柱"
"SP2","M3铜柱","TopLayer","铜柱","2244.095","118.110","0","铜柱"
"SP1","M3铜柱","TopLayer","铜柱","2244.095","905.512","0","铜柱"
"U4","USBLC6-2SC6","TopLayer","SOT23-6","526.055","503.000","270","静电放电(ESD)保护器件，反向截止电压(Vrwm)：5.25V 击穿电压：6V 峰值脉冲电流(Ipp)：5A@8/20us 最大钳位电压(Vc)@Ipp：17V"
"X1","8MHz","TopLayer","OSC_3225-4P","1496.465","457.661","90","4脚无源晶振"
"U5","STM32F103CBT6","TopLayer","LQFP48_7X7","1113.500","509.000","90",""
"U3","ME6211C33","TopLayer","SOT23-5","792.945","896.402","270","低压差线性稳压器"
"U1","ME6211C33","TopLayer","SOT23-5","793.055","767.402","270","低压差线性稳压器"
"SWD2","SWD","TopLayer","焊点×4","682.000","340.000","0",""
"SWD1","STDC14(SWD)","TopLayer","STDC14","2238.000","509.000","90","For STLINK_V3SET"
"R25","100K","TopLayer","RES_0402","1384.000","601.000","0","Resistor"
"R23","10K","TopLayer","RES_0402","1313.000","325.000","270","Resistor"
"R22","10K","TopLayer","RES_0402","1347.000","325.000","270","Resistor"
"R24","100K","TopLayer","RES_0402","1163.000","254.000","0","Resistor"
"R21","100R","TopLayer","RES_0402","828.000","578.000","0","Resistor"
"R20","10K","TopLayer","RES_0402","1064.000","785.000","90","Resistor"
"R19","36K","TopLayer","RES_0402","411.000","645.000","0","Resistor"
"R18","100R","TopLayer","RES_0402","411.000","611.000","180","Resistor"
"R16","10K","TopLayer","RES_0402","411.000","679.000","180","Resistor"
"R15","2.7K","TopLayer","RES_0402","1024.000","265.000","180","Resistor"
"R14","10K","TopLayer","RES_0402","1098.000","785.000","90","Resistor"
"R13","1K5","TopLayer","RES_0402","671.000","605.000","180","Resistor"
"R12","4.7K","TopLayer","RES_0402","1384.000","669.000","0","Resistor"
"R11","4.7K","TopLayer","RES_0402","1384.000","635.000","0","Resistor"
"R10","22R","TopLayer","RES_0402","671.000","465.000","0","Resistor"
"R9","22R","TopLayer","RES_0402","671.000","540.000","0","Resistor"
"R8","1K","TopLayer","RES_0402","1024.000","163.000","180","Resistor"
"R7","1K","TopLayer","RES_0402","1024.000","197.000","0","Resistor"
"R6","5.1K","TopLayer","RES_0402","411.000","577.000","0","Resistor"
"R5","330R","TopLayer","RES_0402","1163.000","220.000","180","Resistor"
